,BuildingType,PrimaryPropertyType,YearBuilt,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,Neighborhood,NumberofBuildings,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance,Autre,Bureau,Commercial,Hotel / Restaurant,Industrial,Loisirs,Public,Residential,Santé,Scolaire,Service,industrial
1806,NonResidential,Bureau,1984,4,57110,Bureau,MAGNOLIA / QUEEN ANNE,1.0,69.0,2190460.0,24.31,2.523212429766705,0,1,0,0,0,0,0,0,0,0,0,0
1811,NonResidential,Bureau,1979,3,34030,Bureau,DOWNTOWN,1.0,50.0,1748629.875,22.26,1.8422782468134207,0,1,0,0,0,0,0,0,0,0,0,0
1817,NonResidential,Hotel / Restaurant,1902,2,20398,Hotel / Restaurant,SOUTHWEST,1.0,,9313513.0,334.15,2.5836881258427273,0,0,0,1,0,0,0,0,0,0,0,0
1818,NonResidential,Industrial,1952,1,41308,Industrial,GREATER DUWAMISH,1.0,7.0,1642471.5,38.57,3.6313417902094107,0,0,0,0,1,0,0,0,0,0,0,0
1839,NonResidential,Autre,1913,3,43878,Residential,DOWNTOWN,1.0,,769771.3125,5.37,1.227989785713687,0,0,0,0,0,0,0,1,0,0,0,0
1840,NonResidential,Autre,1912,3,34976,Loisirs,MAGNOLIA / QUEEN ANNE,1.0,,873711.125,15.7,2.6548649111427034,0,0,0,0,0,1,0,0,0,0,0,0
1861,NonResidential,Industrial,1957,1,38255,Industrial,MAGNOLIA / QUEEN ANNE,1.0,12.0,985401.8125,33.8,6.229146667085622,0,0,0,0,1,0,0,0,0,0,0,0
1862,Campus,Autre,1955,1,260241,Autre,MAGNOLIA / QUEEN ANNE,23.0,,34012980.0,565.55,6.29853061148803,1,0,0,0,0,0,0,0,0,0,0,0
1870,NonResidential,Bureau,1989,3,48924,Bureau,LAKE UNION,1.0,71.0,2282551.25,59.24,5.403834320385998,0,1,0,0,0,0,0,0,0,0,0,0
1875,NonResidential,Bureau,1959,4,50333,Bureau,LAKE UNION,1.0,88.0,1602084.375,11.17,4.7698755545974665,0,1,0,0,0,0,0,0,0,0,0,0
1876,NonResidential,Bureau,1986,4,57432,Bureau,LAKE UNION,1.0,,2520483.25,17.57,4.643114061733771,0,1,0,0,0,0,0,0,0,0,0,0
1877,NonResidential,Bureau,1969,3,25912,Bureau,LAKE UNION,1.0,,666740.3125,4.65,4.596484517176303,0,1,0,0,0,0,0,0,0,0,0,0
1878,NonResidential,Bureau,2000,3,57132,Bureau,LAKE UNION,1.0,73.0,1994967.75,13.91,4.694777010379021,0,1,0,0,0,0,0,0,0,0,0,0
1884,NonResidential,Autre,1957,2,24224,Autre,DELRIDGE,1.0,52.0,968026.3125,26.73,8.984909617052098,1,0,0,0,0,0,0,0,0,0,0,0
1885,NonResidential,Autre,1963,1,23706,Autre,DELRIDGE,1.0,78.0,400770.9063,13.12,9.188332308148247,1,0,0,0,0,0,0,0,0,0,0,0
